,index,School,School_Total,graduation_rate,Grade,Grade_Total,male_pct,female_pct,asian_pct,black_pct,hispanic_pct,white_pct,multi_pct,native_pct,learning_english_pct,disability_pct,poverty_pct,homeless_pct,School_exp,Classroom_Salary,Other_Inst_Salary,Inst_Benefits,Prof_Dev,Admin_Salary,Admin_Benefits,Other_Salaries,Other_Benefits,Other_Exp,S_T_Ratio,lt_4,four_twenty,plus_21
0,0,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,1474,0.8065209602293085,9,606,0.5,0.5,0.036303630363036306,0.27722772277227725,0.6468646864686468,0.018151815181518153,0.013201320132013201,0.00825082508250825,0.17656765676567657,0.20132013201320131,0.9042904290429042,0.1419141914191419,21322.18,5559.35,1170.16,3371.84,0.0,896.29,449.09,793.91,397.79,963.98,17,26,59,15
1,1,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,1474,0.8065209602293085,10,355,0.5183098591549296,0.48169014084507045,0.03380281690140845,0.30140845070422534,0.6140845070422535,0.014084507042253521,0.01971830985915493,0.016901408450704224,0.16619718309859155,0.18591549295774648,0.856338028169014,0.1352112676056338,21322.18,5559.35,1170.16,3371.84,0.0,896.29,449.09,793.91,397.79,963.98,17,26,59,15
2,2,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,1474,0.8065209602293085,11,288,0.4722222222222222,0.5277777777777778,0.034722222222222224,0.3194444444444444,0.6076388888888888,0.020833333333333332,0.013888888888888888,0.003472222222222222,0.12152777777777778,0.1388888888888889,0.8333333333333334,0.1284722222222222,21322.18,5559.35,1170.16,3371.84,0.0,896.29,449.09,793.91,397.79,963.98,17,26,59,15
3,3,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,1474,0.8065209602293085,12,225,0.4711111111111111,0.5288888888888889,0.09777777777777778,0.28,0.5911111111111111,0.017777777777777778,0.0,0.013333333333333334,0.1111111111111111,0.1111111111111111,0.8711111111111111,0.09777777777777778,21322.18,5559.35,1170.16,3371.84,0.0,896.29,449.09,793.91,397.79,963.98,17,26,59,15
4,5,A-TECH HIGH SCHOOL,363,0.8052373158756138,10,112,0.8928571428571429,0.10714285714285714,0.03571428571428571,0.35714285714285715,0.5625,0.008928571428571428,0.017857142857142856,0.017857142857142856,0.10714285714285714,0.5446428571428571,0.875,0.07142857142857142,32050.35,9038.17,2162.82,5612.29,694.56,1140.87,571.64,1352.44,677.64,3080.16,9,25,75,0
5,8,ABRAHAM LINCOLN HIGH SCHOOL,1987,0.8931917551530294,9,721,0.5533980582524272,0.44660194174757284,0.1636615811373093,0.3800277392510402,0.31484049930651875,0.11650485436893204,0.008321775312066574,0.016643550624133148,0.10540915395284327,0.20249653259361997,0.8599167822468793,0.09431345353675451,21281.89,6149.46,1136.92,3650.86,0.0,694.34,347.9,715.58,358.54,508.51,16,33,60,8
6,9,ABRAHAM LINCOLN HIGH SCHOOL,1987,0.8931917551530294,10,464,0.5625,0.4375,0.1314655172413793,0.41379310344827586,0.26939655172413796,0.16379310344827586,0.01939655172413793,0.0021551724137931034,0.15948275862068967,0.20043103448275862,0.7780172413793104,0.08620689655172414,21281.89,6149.46,1136.92,3650.86,0.0,694.34,347.9,715.58,358.54,508.51,16,33,60,8
7,10,ABRAHAM LINCOLN HIGH SCHOOL,1987,0.8931917551530294,11,453,0.5739514348785872,0.4260485651214128,0.15673289183222958,0.4260485651214128,0.2803532008830022,0.10596026490066225,0.02207505518763797,0.008830022075055188,0.1346578366445916,0.1434878587196468,0.7947019867549668,0.09933774834437085,21281.89,6149.46,1136.92,3650.86,0.0,694.34,347.9,715.58,358.54,508.51,16,33,60,8
8,11,ABRAHAM LINCOLN HIGH SCHOOL,1987,0.8931917551530294,12,349,0.5730659025787965,0.4269340974212034,0.1518624641833811,0.44412607449856734,0.2636103151862464,0.12607449856733524,0.0057306590257879654,0.008595988538681949,0.1318051575931232,0.17478510028653296,0.7851002865329513,0.07449856733524356,21281.89,6149.46,1136.92,3650.86,0.0,694.34,347.9,715.58,358.54,508.51,16,33,60,8
9,12,ACAD FOR CAREERS-TELEVISION-FILM,547,0.9723360655737705,9,136,0.5073529411764706,0.49264705882352944,0.04411764705882353,0.18382352941176472,0.5882352941176471,0.14705882352941177,0.03676470588235294,0.0,0.07352941176470588,0.17647058823529413,0.7867647058823529,0.09558823529411764,22144.97,6103.52,1569.49,3844.59,6.77,749.05,375.31,703.07,352.27,721.13,13,35,63,2
10,13,ACAD FOR CAREERS-TELEVISION-FILM,547,0.9723360655737705,10,137,0.5109489051094891,0.48905109489051096,0.13138686131386862,0.1386861313868613,0.5109489051094891,0.15328467153284672,0.058394160583941604,0.0072992700729927005,0.0,0.24087591240875914,0.6861313868613139,0.058394160583941604,22144.97,6103.52,1569.49,3844.59,6.77,749.05,375.31,703.07,352.27,721.13,13,35,63,2
11,14,ACAD FOR CAREERS-TELEVISION-FILM,547,0.9723360655737705,11,138,0.5362318840579711,0.463768115942029,0.10869565217391304,0.13043478260869565,0.5434782608695652,0.17391304347826086,0.036231884057971016,0.007246376811594203,0.09420289855072464,0.30434782608695654,0.644927536231884,0.050724637681159424,22144.97,6103.52,1569.49,3844.59,6.77,749.05,375.31,703.07,352.27,721.13,13,35,63,2
12,15,ACAD FOR CAREERS-TELEVISION-FILM,547,0.9723360655737705,12,136,0.4852941176470588,0.5147058823529411,0.08823529411764706,0.14705882352941177,0.5294117647058824,0.16176470588235295,0.0661764705882353,0.007352941176470588,0.03676470588235294,0.16911764705882354,0.5955882352941176,0.051470588235294115,22144.97,6103.52,1569.49,3844.59,6.77,749.05,375.31,703.07,352.27,721.13,13,35,63,2
13,16,ACAD FOR COLLEGE PREP AND CAREER EXP,218,0.8142292490118577,9,71,0.676056338028169,0.323943661971831,0.04225352112676056,0.7183098591549296,0.15492957746478872,0.028169014084507043,0.028169014084507043,0.028169014084507043,0.11267605633802817,0.2676056338028169,0.9436619718309859,0.2112676056338028,24138.84,5764.27,2065.97,3923.37,0.0,1887.12,945.55,737.27,369.41,726.12,14,28,64,8
14,17,ACAD FOR COLLEGE PREP AND CAREER EXP,218,0.8142292490118577,10,50,0.74,0.26,0.04,0.68,0.24,0.02,0.0,0.02,0.16,0.2,0.86,0.16,24138.84,5764.27,2065.97,3923.37,0.0,1887.12,945.55,737.27,369.41,726.12,14,28,64,8
15,18,ACAD FOR COLLEGE PREP AND CAREER EXP,218,0.8142292490118577,11,63,0.6190476190476191,0.38095238095238093,0.015873015873015872,0.7301587301587301,0.19047619047619047,0.06349206349206349,0.0,0.0,0.09523809523809523,0.15873015873015872,0.8888888888888888,0.30158730158730157,24138.84,5764.27,2065.97,3923.37,0.0,1887.12,945.55,737.27,369.41,726.12,14,28,64,8
16,19,ACAD FOR COLLEGE PREP AND CAREER EXP,218,0.8142292490118577,12,34,0.5588235294117647,0.4411764705882353,0.029411764705882353,0.8235294117647058,0.08823529411764706,0.058823529411764705,0.0,0.0,0.0,0.0,0.7058823529411765,0.17647058823529413,24138.84,5764.27,2065.97,3923.37,0.0,1887.12,945.55,737.27,369.41,726.12,14,28,64,8
