,School,School_Total,graduation_rate,male_pct,female_pct,asian_pct,black_pct,hispanic_pct,white_pct,multi_pct,native_pct,learning_english_pct,disability_pct,poverty_pct,homeless_pct,School_exp,Classroom_Salary,Other_Inst_Salary,Inst_Benefits,Prof_Dev,Admin_Salary,Admin_Benefits,Other_Salaries,Other_Benefits,Other_Exp,District,S_T_Ratio,lt_4,four_twenty,plus_21
0,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,311,0.8070739549839229,0.494572591587517,0.505427408412483,0.04477611940298507,0.29172320217096337,0.6227951153324288,0.017639077340569877,0.012211668928086838,0.0101763907734057,0.15332428765264586,0.17164179104477612,0.8738127544097694,0.1309362279511533,21322.18,5559.35,1170.16,3371.84,0.0,896.29,449.09,793.91,397.79,963.98,NYC GEOG DIST # 6 - MANHATTAN,17,26,59,15
1,ABRAHAM LINCOLN HIGH SCHOOL,401,0.8927680798004988,0.5636638147961751,0.4363361852038249,0.1524911927528938,0.4096628082536487,0.2873678912934072,0.1268243583291394,0.013588324106693507,0.010065425264217413,0.12934071464519376,0.18369401107196778,0.8127830900855562,0.09008555611474585,21281.89,6149.46,1136.92,3650.86,0.0,694.34,347.9,715.58,358.54,508.51,NYC GEOG DIST #21 - BROOKLYN,16,33,60,8
2,ACAD FOR CAREERS-TELEVISION-FILM,141,0.9716312056737588,0.5100548446069469,0.489945155393053,0.09323583180987204,0.14990859232175502,0.5429616087751371,0.1590493601462523,0.04936014625228519,0.003656307129798903,0.04936014625228519,0.2230347349177331,0.6782449725776966,0.06398537477148081,22144.97,6103.52,1569.49,3844.59,6.77,749.05,375.31,703.07,352.27,721.13,NYC GEOG DIST #30 - QUEENS,13,35,63,2
3,ACAD FOR COLLEGE PREP AND CAREER EXP,37,0.8108108108108109,0.6559633027522935,0.3440366972477064,0.03211009174311927,0.7293577981651376,0.1743119266055046,0.04128440366972477,0.0,0.0045871559633027525,0.0963302752293578,0.1743119266055046,0.8715596330275229,0.22018348623853212,24138.84,5764.27,2065.97,3923.37,0.0,1887.12,945.55,737.27,369.41,726.12,NYC GEOG DIST #17 - BROOKLYN,14,28,64,8
4,ACAD FOR CONSERVATION & ENVIRONMENT,77,0.922077922077922,0.6571428571428571,0.34285714285714286,0.06571428571428571,0.68,0.13428571428571429,0.06571428571428571,0.025714285714285714,0.022857142857142857,0.06285714285714286,0.18285714285714286,0.8142857142857143,0.11714285714285715,22841.78,5728.9,1871.88,3808.39,3.1,1405.56,704.26,364.2,182.49,1053.24,NYC GEOG DIST #18 - BROOKLYN,14,58,42,0
5,ACAD-SCHOLARSHIP & ENTREPRENEURSHIP,93,0.8279569892473119,0.536986301369863,0.46301369863013697,0.021917808219178082,0.6547945205479452,0.27945205479452057,0.00821917808219178,0.0,0.024657534246575342,0.00821917808219178,0.1917808219178082,0.873972602739726,0.06575342465753424,26166.24,7476.72,1536.87,4516.28,83.14,1373.34,688.11,1301.67,652.2,818.14,NYC GEOG DIST #11 - BRONX,14,31,66,3
6,ACADEMY FOR EXCELLENCE-LEADERSHIP,74,0.8243243243243243,0.5555555555555556,0.4444444444444444,0.007407407407407408,0.13703703703703704,0.8037037037037037,0.03333333333333333,0.0,0.0,0.44074074074074077,0.2074074074074074,0.8925925925925926,0.17777777777777778,31772.93,7690.25,3652.75,5683.44,4.97,1949.88,977.0,1830.2,917.03,1347.64,NYC GEOG DIST #32 - BROOKLYN,11,46,54,0
7,ACADEMY FOR HEALTH CAREERS,52,0.8461538461538461,0.2578125,0.7421875,0.05859375,0.71875,0.18359375,0.015625,0.0,0.015625,0.04296875,0.1640625,0.83203125,0.11328125,23770.0,6852.44,1076.76,3972.94,63.89,1324.47,663.63,439.29,220.11,1436.72,NYC GEOG DIST #17 - BROOKLYN,12,21,71,8
8,ACADEMY FOR SOFTWARE ENGINEERING,116,0.9310344827586207,0.8215962441314554,0.1784037558685446,0.13145539906103287,0.24413145539906103,0.5070422535211268,0.07746478873239436,0.025821596244131457,0.014084507042253521,0.056338028169014086,0.2652582159624413,0.7464788732394366,0.06807511737089202,24749.1,6800.94,1867.93,4343.56,32.69,990.69,496.39,1016.44,509.29,971.42,NYC GEOG DIST # 2 - MANHATTAN,12,26,74,0
9,ACADEMY FOR YOUNG WRITERS,85,0.9529411764705882,0.4254742547425474,0.5745257452574526,0.02981029810298103,0.6287262872628726,0.3116531165311653,0.016260162601626018,0.0,0.0,0.02168021680216802,0.22493224932249323,0.8888888888888888,0.07588075880758807,26232.89,7557.19,2109.54,4843.54,9.47,1027.98,515.07,581.32,291.27,1577.73,NYC GEOG DIST #19 - BROOKLYN,10,40,55,5
