District,School,Accountability,Needs,School_exp,Classroom_Salary,Other_Inst_Salary,Inst_Benefits,Prof_Dev,Admin_Salary,Admin_Benefits,Other_Salaries,Other_Benefits,Other_Exp
NYC GEOG DIST # 1 - MANHATTAN,BARD HIGH SCHOOL EARLY COLLEGE,Good,1,20439.24,5960.94,1107.47,3541.65,0.0,716.48,359.0,541.6,271.37,220.97
NYC GEOG DIST # 1 - MANHATTAN,CASCADES HIGH SCHOOL,Good,1,31103.48,8514.1,2229.56,5383.14,0.0,2144.92,1074.72,1810.42,907.11,1319.76
NYC GEOG DIST # 1 - MANHATTAN,EAST SIDE COMMUNITY SCHOOL,Good,1,24051.15,7287.4,1813.56,4560.06,0.0,677.47,339.45,756.7,379.15,517.59
NYC GEOG DIST # 1 - MANHATTAN,FORSYTHE SATELLITE ACADEMY,Good,1,33921.1,10945.17,2096.84,6534.73,74.07,1344.76,673.8,2146.33,1075.43,1310.2
NYC GEOG DIST # 1 - MANHATTAN,LOWER EAST SIDE PREP HS,Target,1,25966.91,6970.69,1955.56,4472.52,0.75,1197.43,599.98,893.78,447.83,1708.6
NYC GEOG DIST # 1 - MANHATTAN,"NEW EXPLORATIONS SCI, TECH & MATH",Good,1,18346.26,5090.89,891.17,2997.33,16.18,422.19,211.54,439.18,220.05,337.96
NYC GEOG DIST # 1 - MANHATTAN,ORCHARD COLLEGIATE ACADEMY,Good,1,24625.47,6227.89,1748.42,3996.55,422.03,1075.48,538.87,42.1,21.09,2833.25
NYC GEOG DIST # 1 - MANHATTAN,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,Good,1,23121.02,5465.69,1920.93,3701.09,2.27,826.51,414.13,816.58,409.15,1844.92
NYC GEOG DIST # 2 - MANHATTAN,ACADEMY FOR SOFTWARE ENGINEERING,Good,1,24749.1,6800.94,1867.93,4343.56,32.69,990.69,496.39,1016.44,509.29,971.42
NYC GEOG DIST # 2 - MANHATTAN,AMERICAN SIGN LANG & ENG SECONDAR,Good,1,32104.29,9700.74,2126.74,5926.19,0.0,2141.36,1072.93,1138.89,570.64,1707.03
NYC GEOG DIST # 2 - MANHATTAN,ART AND DESIGN HIGH SCHOOL,Good,1,21325.93,5683.82,1173.86,3436.06,9.34,796.4,399.04,646.09,323.72,1137.83
NYC GEOG DIST # 2 - MANHATTAN,BARUCH COLLEGE CAMPUS HIGH SCHOOL,Good,1,19273.77,4771.83,981.2,2882.57,23.33,929.55,465.75,704.81,353.15,441.82
NYC GEOG DIST # 2 - MANHATTAN,BUSINESS OF SPORTS SCHOOL,Good,1,23648.77,6311.8,1224.01,3775.84,0.0,1095.15,548.73,1097.38,549.85,1326.25
NYC GEOG DIST # 2 - MANHATTAN,CHELSEA CAREER AND TECH ED HS,Good,1,25163.46,6906.33,1485.8,4204.9,0.0,1024.36,513.26,1081.04,541.66,1686.36
NYC GEOG DIST # 2 - MANHATTAN,CLINTON SCHOOL,Good,1,20501.81,5880.73,1315.34,3605.61,0.0,551.64,276.4,468.45,234.72,449.15
