Districts,School,S_T_Ratio,lt_4,4_20,21+
NYC GEOG DIST # 1 - MANHATTAN,BARD HIGH SCHOOL EARLY COLLEGE,14,30,70,0
NYC GEOG DIST # 1 - MANHATTAN,CASCADES HIGH SCHOOL,12,31,62,8
NYC GEOG DIST # 1 - MANHATTAN,EAST SIDE COMMUNITY SCHOOL,11,37,55,8
NYC GEOG DIST # 1 - MANHATTAN,FORSYTHE SATELLITE ACADEMY,8,35,59,6
NYC GEOG DIST # 1 - MANHATTAN,LOWER EAST SIDE PREP HS,8,11,66,24
NYC GEOG DIST # 1 - MANHATTAN,"NEW EXPLORATIONS SCI, TECH & MATH",17,32,66,2
NYC GEOG DIST # 1 - MANHATTAN,ORCHARD COLLEGIATE ACADEMY,15,33,67,0
NYC GEOG DIST # 1 - MANHATTAN,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,16,39,53,8
NYC GEOG DIST # 2 - MANHATTAN,ACADEMY FOR SOFTWARE ENGINEERING,12,26,74,0
NYC GEOG DIST # 2 - MANHATTAN,AMERICAN SIGN LANG & ENG SECONDAR,8,61,29,10
NYC GEOG DIST # 2 - MANHATTAN,ART AND DESIGN HIGH SCHOOL,16,39,53,8
NYC GEOG DIST # 2 - MANHATTAN,BARUCH COLLEGE CAMPUS HIGH SCHOOL,17,53,47,0
NYC GEOG DIST # 2 - MANHATTAN,BUSINESS OF SPORTS SCHOOL,13,35,59,5
NYC GEOG DIST # 2 - MANHATTAN,CHELSEA CAREER AND TECH ED HS,14,29,47,24
NYC GEOG DIST # 2 - MANHATTAN,CLINTON SCHOOL,15,28,72,0
NYC GEOG DIST # 2 - MANHATTAN,ELEANOR ROOSEVELT HIGH SCHOOL,17,15,85,0
NYC GEOG DIST # 2 - MANHATTAN,EMMA LAZARUS HIGH SCHOOL,11,59,36,5
NYC GEOG DIST # 2 - MANHATTAN,ESSEX STREET ACADEMY,13,17,80,3
NYC GEOG DIST # 2 - MANHATTAN,FACING HISTORY SCHOOL,12,43,53,3
NYC GEOG DIST # 2 - MANHATTAN,FOOD AND FINANCE HIGH SCHOOL,15,21,66,14
NYC GEOG DIST # 2 - MANHATTAN,GRAMERCY ARTS HIGH SCHOOL,15,38,59,3
NYC GEOG DIST # 2 - MANHATTAN,HARVEST COLLEGIATE HIGH SCHOOL,13,26,68,5
NYC GEOG DIST # 2 - MANHATTAN,HARVEY MILK HIGH SCHOOL,4,33,60,7
NYC GEOG DIST # 2 - MANHATTAN,HIGH SCHOOL OF FASHION INDUSTRIES,17,29,63,8
NYC GEOG DIST # 2 - MANHATTAN,HIGH SCHOOL OF HOSPITALITY MGMNT,14,24,76,0
NYC GEOG DIST # 2 - MANHATTAN,HIGH SCHOOL-CLIMATE JUSTICE,10,34,66,0
NYC GEOG DIST # 2 - MANHATTAN,HIGH SCHOOL-LANGUAGE AND DIPLOMACY,13,43,52,5
NYC GEOG DIST # 2 - MANHATTAN,HS FOR ENVIRONMENTAL STUDIES,15,28,70,3
NYC GEOG DIST # 2 - MANHATTAN,HS OF ECONOMICS & FINANCE,15,25,56,19
NYC GEOG DIST # 2 - MANHATTAN,HS-DUAL LANGUAGE & ASIAN STUDIES,19,26,61,13
NYC GEOG DIST # 2 - MANHATTAN,HS-HEALTH PROFESSIONS & HUMAN SVCS,18,21,66,13
NYC GEOG DIST # 2 - MANHATTAN,HUDSON HS OF LEARNING TECHNOLOGIES,11,44,50,6
NYC GEOG DIST # 2 - MANHATTAN,HUMANITIES PREP ACADEMY,9,17,71,12
NYC GEOG DIST # 2 - MANHATTAN,INDEPENDENCE HIGH SCHOOL,11,35,48,17
NYC GEOG DIST # 2 - MANHATTAN,INST FOR COLLABORATIVE EDUCATION,16,48,52,0
NYC GEOG DIST # 2 - MANHATTAN,INTERNATIONAL HS AT UNION SQUARE,12,15,73,12
NYC GEOG DIST # 2 - MANHATTAN,JACQUELINE KENNEDY-ONASSIS HS,10,36,41,23
NYC GEOG DIST # 2 - MANHATTAN,JAMES BALDWIN SCHOOL,10,32,68,0
NYC GEOG DIST # 2 - MANHATTAN,LANDMARK HIGH SCHOOL,14,39,61,0
NYC GEOG DIST # 2 - MANHATTAN,LEADERSHIP & PUBLIC SERVICE HS,14,26,57,17
NYC GEOG DIST # 2 - MANHATTAN,LIBERTY HS ACADEMY-NEWCOMERS,14,19,62,19
NYC GEOG DIST # 2 - MANHATTAN,LOWER MANHATTAN ARTS ACADEMY,11,61,36,3
NYC GEOG DIST # 2 - MANHATTAN,MANHATTAN ACAD-ARTS AND LANGUAGE,10,38,57,5
NYC GEOG DIST # 2 - MANHATTAN,MANHATTAN BRIDGES HIGH SCHOOL,15,29,66,6
NYC GEOG DIST # 2 - MANHATTAN,MANHATTAN BUSINESS ACADEMY,13,29,68,3
NYC GEOG DIST # 2 - MANHATTAN,MANHATTAN EARLY COLLEGE SCH-ADVERTIS,13,42,58,0
NYC GEOG DIST # 2 - MANHATTAN,MANHATTAN INTERNATIONAL HIGH SCHOOL,14,33,67,0
NYC GEOG DIST # 2 - MANHATTAN,MANHATTAN VILLAGE ACADEMY,15,41,50,9
NYC GEOG DIST # 2 - MANHATTAN,MILLENNIUM HIGH SCHOOL,17,21,74,5
NYC GEOG DIST # 2 - MANHATTAN,MURRAY HILL ACADEMY,12,43,52,4
